,item_id,first_genre,second_genre
0,16827462.0,Young Adult,Romance
1,2792775.0,Young Adult,Fiction
2,8812783.0,Young Adult,Science Fiction
3,41107568.0,Fiction,Mystery
4,6171458.0,Young Adult,Science Fiction
5,878368.0,Historical Fiction,Fiction
6,15732562.0,Romance,Fiction
7,13155899.0,Young Adult,Science Fiction
8,3212258.0,Fantasy,Young Adult
9,17225055.0,Young Adult,Romance
10,15545385.0,Fantasy,Young Adult
11,21825181.0,Science Fiction,Fiction
12,14345371.0,Fantasy,Young Adult
13,17763198.0,Romance,Fiction
14,13306276.0,Fiction,Mystery
15,15524542.0,Young Adult,Science Fiction
16,48765776.0,Fantasy,Fiction
17,2267189.0,Fantasy,Young Adult
18,14863741.0,Science Fiction,Fiction
19,14245059.0,Fantasy,Fiction
20,4640799.0,Fantasy,Fiction
21,21861351.0,Young Adult,Contemporary
22,4717423.0,Fiction,Historical
23,25491300.0,Historical,Historical Fiction
24,21975829.0,Young Adult,Mystery
25,919292.0,Young Adult,Fiction
26,3275794.0,Classics,Fiction
27,21905102.0,Fantasy,Romance
28,6366642.0,Young Adult,Science Fiction
29,21500681.0,Fantasy,Fiction
30,15413183.0,Young Adult,Romance
31,15524549.0,Young Adult,Science Fiction
32,4835472.0,Fiction,Classics
33,2236198.0,Young Adult,Fiction
34,1708725.0,Fiction,Mystery
35,245494.0,Classics,Fiction
36,2963218.0,Young Adult,Fiction
37,1466917.0,Fantasy,Fiction
38,153313.0,Classics,Fiction
39,2543234.0,Young Adult,Fiction
40,1119185.0,Fiction,Classics
41,3441236.0,Fiction,Historical
42,3346751.0,Fantasy,Young Adult
43,3295919.0,Fiction,Historical Fiction
44,26540216.0,Young Adult,Romance
45,9585076.0,Fiction,Contemporary
46,2489796.0,Historical,Historical Fiction
47,18390691.0,Fantasy,Young Adult
48,25126749.0,Fantasy,Romance
49,3328799.0,Young Adult,Science Fiction
50,19187812.0,Young Adult,Science Fiction
51,24065147.0,Fiction,Contemporary
52,2960529.0,Young Adult,Fantasy
53,3060926.0,Classics,Fiction
54,7168450.0,Romance,Young Adult
55,11138426.0,Fantasy,Audiobook
56,2588213.0,Young Adult,Contemporary
57,3036731.0,Classics,Fiction
58,3364505.0,Young Adult,Fiction
59,4422413.0,Young Adult,Romance
60,9631645.0,Young Adult,Science Fiction
61,18390772.0,Fantasy,Young Adult
62,6674837.0,Fantasy,Young Adult
63,13355552.0,Fantasy,Young Adult
64,3352398.0,Nonfiction,Autobiography
65,2422333.0,Science Fiction,Young Adult
66,3203964.0,Young Adult,Fantasy
67,23841765.0,Fiction,Thriller
68,15093325.0,Fantasy,Young Adult
69,42077459.0,Fantasy,Young Adult
70,21581860.0,Fantasy,Young Adult
71,13492114.0,Fantasy,Young Adult
72,2502879.0,Fantasy,Fiction
73,2402163.0,Fantasy,Fiction
74,16441531.0,Romance,New Adult
75,19926990.0,Fiction,Contemporary
76,6231171.0,Fantasy,Fiction
77,41125521.0,Historical,Historical Fiction
78,22002305.0,Mystery,Fiction
79,3443248.0,Fantasy,Young Adult
80,16813814.0,Romance,Adult Fiction
81,17237712.0,Nonfiction,Autobiography
82,16319487.0,Young Adult,Fiction
83,26113532.0,Young Adult,Romance
84,1575860.0,Fantasy,Young Adult
85,20397129.0,Young Adult,Romance
86,13190160.0,Fantasy,Fiction
87,18390887.0,Fantasy,Young Adult
88,28098716.0,Fiction,Science Fiction
89,27570886.0,Fiction,Mystery
90,14157512.0,Young Adult,Science Fiction
91,3271379.0,Fiction,Historical
92,26653661.0,Science Fiction,Young Adult
93,2982101.0,Fiction,Mystery
94,21619954.0,Fiction,Contemporary
95,15553789.0,Fiction,Historical
96,2754161.0,Historical,Historical Fiction
97,4259809.0,Fiction,Mystery
98,16964419.0,Young Adult,LGBT
99,22084678.0,Fiction,Romance
100,6873353.0,Mystery,Fiction
101,2219449.0,Fantasy,Young Adult
102,6525609.0,Young Adult,Fantasy
103,3355573.0,Fiction,Science Fiction
104,1540236.0,Fantasy,Classics
105,13629068.0,Fantasy,Young Adult
106,3046572.0,Fantasy,Young Adult
107,15333458.0,Young Adult,Science Fiction
108,6488966.0,Fantasy,Young Adult
109,2207778.0,Classics,Fiction
110,21389085.0,Romance,New Adult
111,25128502.0,Fantasy,Young Adult
112,1392700.0,Fiction,Fantasy
113,6244926.0,Young Adult,Fantasy
114,2675454.0,Young Adult,Fantasy
115,2153746.0,Fiction,Romance
116,2944133.0,Nonfiction,Autobiography
117,6948844.0,Fantasy,Young Adult
118,6674845.0,Fantasy,Young Adult
119,18970934.0,Fantasy,Young Adult
120,17588854.0,Young Adult,Fantasy
121,1145090.0,Fiction,Mystery
122,2809203.0,Fantasy,Young Adult
123,12946965.0,Nonfiction,History
124,14302659.0,Nonfiction,Autobiography
125,44458285.0,Fiction,Historical
126,2977639.0,Classics,Fiction
127,3270810.0,Fantasy,Young Adult
128,40098620.0,Nonfiction,Autobiography
129,6278977.0,Fantasy,Fiction
130,41335427.0,Fantasy,Young Adult
