,Num Features,Val Accuracy,Val Loss,Val F1,Num Epochs
0,1,0.92,0.188,0.836,4916
1,2,0.923,0.18,0.838,2283
2,3,0.926,0.171,0.844,1513
3,4,0.939,0.151,0.859,1447
4,5,0.942,0.13,0.87,2034
5,6,0.944,0.125,0.874,2327
6,7,0.95,0.111,0.882,3186
7,8,0.96,0.099,0.903,2279
8,9,0.966,0.097,0.919,2241
9,10,0.958,0.099,0.897,1893
10,11,0.959,0.095,0.901,1618
11,12,0.966,0.091,0.92,1568
12,13,0.965,0.085,0.916,1953
13,14,0.967,0.083,0.922,1848
14,15,0.966,0.086,0.919,1283
15,16,0.969,0.084,0.927,1965
16,17,0.962,0.087,0.912,1304
17,18,0.964,0.091,0.916,1078
18,19,0.962,0.09,0.912,1000
19,20,0.962,0.089,0.912,1648
20,21,0.961,0.092,0.907,1241
21,22,0.965,0.086,0.918,1257
22,23,0.968,0.085,0.925,1064
23,24,0.962,0.089,0.911,986
24,25,0.968,0.085,0.925,1293
25,26,0.967,0.085,0.923,1112
26,27,0.965,0.082,0.918,1214
27,28,0.965,0.087,0.918,1061
28,29,0.962,0.09,0.911,1301
29,30,0.962,0.087,0.911,1392
30,31,0.967,0.088,0.923,1423
31,32,0.965,0.088,0.918,1347
32,33,0.968,0.087,0.925,1774
33,34,0.973,0.082,0.936,1593
34,35,0.973,0.083,0.936,1423
35,36,0.973,0.078,0.936,1395
36,37,0.972,0.075,0.934,1758
37,38,0.973,0.076,0.936,1637
38,39,0.97,0.079,0.93,1505
39,40,0.971,0.079,0.931,1502
40,41,0.968,0.083,0.924,1344
41,42,0.964,0.085,0.915,867
42,43,0.968,0.084,0.924,1349
43,44,0.968,0.089,0.925,912
44,45,0.964,0.091,0.916,839
45,46,0.965,0.09,0.918,834
46,47,0.965,0.091,0.918,781
47,48,0.969,0.09,0.927,876
48,49,0.968,0.086,0.925,1214
49,50,0.97,0.085,0.929,1472
50,51,0.968,0.086,0.925,1249
51,52,0.969,0.088,0.927,1169
52,53,0.971,0.085,0.931,1469
53,54,0.97,0.086,0.93,1672
54,55,0.966,0.096,0.921,815
55,56,0.963,0.097,0.914,746
56,57,0.968,0.095,0.926,843
57,58,0.964,0.097,0.917,753
58,59,0.965,0.097,0.919,592
59,60,0.969,0.097,0.927,668
60,61,0.965,0.089,0.919,1126
61,62,0.967,0.09,0.923,895
62,63,0.971,0.089,0.933,1158
63,64,0.97,0.089,0.931,1146
64,65,0.969,0.092,0.927,836
65,66,0.969,0.093,0.928,946
66,67,0.968,0.093,0.925,976
67,68,0.969,0.092,0.928,942
68,69,0.968,0.092,0.926,956
69,70,0.969,0.094,0.927,946
70,71,0.963,0.099,0.913,817
71,72,0.962,0.1,0.911,754
72,73,0.963,0.099,0.913,801
73,74,0.964,0.099,0.915,722
74,75,0.963,0.098,0.913,779
75,76,0.967,0.099,0.923,772
76,77,0.967,0.097,0.923,813
77,78,0.964,0.1,0.915,623
78,79,0.962,0.1,0.911,641
79,80,0.968,0.097,0.925,962
80,81,0.964,0.102,0.915,629
81,82,0.97,0.093,0.93,991
82,83,0.965,0.1,0.918,811
83,84,0.963,0.1,0.913,745
84,85,0.963,0.101,0.914,778
85,86,0.961,0.101,0.907,646
86,87,0.962,0.1,0.911,823
87,88,0.968,0.097,0.925,825
88,89,0.967,0.097,0.923,716
89,90,0.966,0.098,0.921,749
90,91,0.968,0.095,0.925,1004
91,92,0.962,0.101,0.912,732
92,93,0.97,0.091,0.93,841
93,94,0.963,0.1,0.914,810
94,95,0.963,0.1,0.914,807
95,96,0.963,0.099,0.914,830
96,97,0.969,0.09,0.927,797
97,98,0.972,0.086,0.934,1080
98,99,0.971,0.092,0.932,849
99,100,0.969,0.092,0.927,766
100,101,0.968,0.092,0.925,727
101,102,0.97,0.09,0.93,930
102,103,0.968,0.095,0.925,962
103,104,0.967,0.095,0.923,835
104,105,0.968,0.095,0.925,790
105,106,0.966,0.096,0.92,763
106,107,0.966,0.097,0.921,755
107,108,0.963,0.095,0.913,874
108,109,0.965,0.095,0.918,776
109,110,0.964,0.096,0.916,708
110,111,0.966,0.094,0.921,790
111,112,0.965,0.094,0.918,786
112,113,0.968,0.094,0.925,840
113,114,0.968,0.096,0.925,836
114,115,0.965,0.093,0.918,766
115,116,0.964,0.092,0.916,760
116,117,0.964,0.095,0.916,765
117,118,0.964,0.094,0.916,728
118,119,0.962,0.098,0.912,655
119,120,0.963,0.098,0.914,663
120,121,0.966,0.096,0.921,664
121,122,0.965,0.098,0.918,658
122,123,0.965,0.098,0.918,646
123,124,0.964,0.098,0.917,795
124,125,0.962,0.098,0.912,761
125,126,0.963,0.098,0.915,834
126,127,0.965,0.098,0.919,609
127,128,0.965,0.098,0.919,615
128,129,0.964,0.098,0.917,564
129,130,0.965,0.096,0.919,617
130,131,0.965,0.096,0.919,615
131,132,0.967,0.096,0.924,595
132,133,0.964,0.096,0.917,629
133,134,0.964,0.095,0.917,585
134,135,0.965,0.096,0.919,744
135,136,0.963,0.095,0.915,595
136,137,0.962,0.096,0.912,569
137,138,0.963,0.096,0.915,685
138,139,0.963,0.1,0.914,564
139,140,0.964,0.096,0.917,615
140,141,0.964,0.095,0.917,668
141,142,0.964,0.095,0.917,672
142,143,0.964,0.096,0.917,670
143,144,0.97,0.092,0.93,564
144,145,0.966,0.092,0.921,639
145,146,0.966,0.096,0.921,548
146,147,0.967,0.092,0.924,724
147,148,0.966,0.092,0.921,723
148,149,0.966,0.092,0.921,715
149,150,0.969,0.091,0.928,761
150,151,0.967,0.095,0.923,620
151,152,0.964,0.092,0.916,668
152,153,0.962,0.098,0.91,630
153,154,0.962,0.099,0.91,655
154,155,0.962,0.1,0.91,607
155,156,0.962,0.099,0.91,614
156,157,0.962,0.1,0.912,630
157,158,0.961,0.099,0.908,648
158,159,0.961,0.099,0.908,644
159,160,0.961,0.099,0.908,703
160,161,0.962,0.101,0.91,665
161,162,0.964,0.096,0.915,616
162,163,0.963,0.098,0.914,566
163,164,0.962,0.1,0.912,601
164,165,0.962,0.101,0.91,686
165,166,0.962,0.101,0.912,639
166,167,0.962,0.101,0.912,628
167,168,0.962,0.102,0.909,567
168,169,0.964,0.103,0.915,574
169,170,0.962,0.102,0.909,570
170,171,0.962,0.102,0.911,606
171,172,0.962,0.101,0.909,612
172,173,0.962,0.101,0.91,578
173,174,0.962,0.101,0.91,587
174,175,0.962,0.101,0.91,583
175,176,0.962,0.1,0.908,631
176,177,0.962,0.101,0.909,605
177,178,0.961,0.1,0.906,620
178,179,0.96,0.099,0.904,662
179,180,0.961,0.098,0.907,648
180,181,0.961,0.099,0.907,662
181,182,0.96,0.099,0.904,637
182,183,0.962,0.101,0.909,570
183,184,0.962,0.101,0.911,582
184,185,0.962,0.101,0.911,576
185,186,0.962,0.102,0.911,574
186,187,0.962,0.103,0.909,555
187,188,0.961,0.103,0.907,553
188,189,0.963,0.103,0.914,564
189,190,0.963,0.102,0.914,561
190,191,0.963,0.103,0.914,562
191,192,0.962,0.103,0.91,564
192,193,0.964,0.103,0.916,567
193,194,0.964,0.103,0.916,567
194,195,0.964,0.103,0.916,564
195,196,0.962,0.103,0.912,578
196,197,0.964,0.093,0.916,719
197,198,0.964,0.093,0.916,695
198,199,0.967,0.093,0.923,626
199,200,0.963,0.098,0.914,493
200,201,0.963,0.098,0.914,497
201,202,0.962,0.097,0.911,540
202,203,0.962,0.096,0.911,518
203,204,0.962,0.097,0.911,491
204,205,0.962,0.097,0.911,505
205,206,0.963,0.097,0.913,479
206,207,0.962,0.096,0.909,535
207,208,0.966,0.092,0.92,613
208,209,0.964,0.095,0.916,582
209,210,0.969,0.092,0.927,646
210,211,0.968,0.093,0.925,566
211,212,0.965,0.097,0.918,493
212,213,0.965,0.099,0.918,448
213,214,0.965,0.099,0.918,459
214,215,0.966,0.1,0.92,452
215,216,0.966,0.1,0.92,459
216,217,0.966,0.1,0.92,475
217,218,0.962,0.103,0.911,496
218,219,0.964,0.103,0.915,513
219,220,0.964,0.103,0.915,512
220,221,0.966,0.103,0.92,509
221,222,0.966,0.103,0.92,510
222,223,0.966,0.102,0.92,511
223,224,0.965,0.103,0.918,485
224,225,0.966,0.103,0.92,491
225,226,0.966,0.099,0.921,593
226,227,0.966,0.099,0.92,514
227,228,0.965,0.1,0.918,426
228,229,0.963,0.097,0.914,443
229,230,0.963,0.098,0.914,456
230,231,0.962,0.098,0.909,479
231,232,0.966,0.1,0.92,499
232,233,0.966,0.1,0.92,499
233,234,0.966,0.098,0.92,454
234,235,0.968,0.096,0.925,521
235,236,0.966,0.095,0.92,492
236,237,0.968,0.097,0.925,497
237,238,0.967,0.097,0.922,504
238,239,0.967,0.096,0.922,516
239,240,0.966,0.1,0.919,504
240,241,0.966,0.1,0.919,486
241,242,0.966,0.097,0.92,559
242,243,0.966,0.1,0.919,550
243,244,0.966,0.101,0.92,588
244,245,0.965,0.098,0.918,643
245,246,0.966,0.098,0.92,573
246,247,0.966,0.101,0.92,498
247,248,0.967,0.103,0.922,506
248,249,0.968,0.104,0.925,638
249,250,0.968,0.103,0.925,637
250,251,0.967,0.104,0.922,592
251,252,0.967,0.104,0.922,543
252,253,0.967,0.104,0.922,486
253,254,0.968,0.103,0.924,506
254,255,0.967,0.103,0.922,494
255,256,0.967,0.103,0.922,499
256,257,0.967,0.103,0.922,478
257,258,0.967,0.103,0.922,491
258,259,0.966,0.104,0.92,476
259,260,0.966,0.104,0.92,483
260,261,0.967,0.105,0.922,503
261,262,0.966,0.105,0.92,513
262,263,0.964,0.105,0.916,467
263,264,0.964,0.104,0.916,479
264,265,0.964,0.104,0.916,499
265,266,0.964,0.104,0.916,486
266,267,0.964,0.103,0.916,523
267,268,0.963,0.104,0.914,487
268,269,0.963,0.104,0.914,487
269,270,0.964,0.104,0.916,469
270,271,0.966,0.103,0.92,481
271,272,0.965,0.103,0.918,492
272,273,0.965,0.104,0.918,471
273,274,0.964,0.102,0.915,441
274,275,0.964,0.102,0.915,483
275,276,0.965,0.101,0.918,498
276,277,0.965,0.101,0.918,499
277,278,0.965,0.102,0.918,496
278,279,0.964,0.102,0.915,463
279,280,0.966,0.104,0.92,472
280,281,0.966,0.104,0.92,467
281,282,0.962,0.104,0.912,439
282,283,0.963,0.104,0.914,463
283,284,0.962,0.105,0.911,463
284,285,0.963,0.101,0.914,415
285,286,0.965,0.101,0.918,431
286,287,0.964,0.098,0.916,484
287,288,0.962,0.101,0.911,454
288,289,0.965,0.1,0.918,481
289,290,0.967,0.1,0.922,463
290,291,0.966,0.1,0.92,473
